Name,Affiliation
Michael Heroux,Sandia National Labs
Lorena Barba,George Washington University
Michela Taufer,"University of Tennessee, Knoxville"
Todd Gamblin,Lawrence Livermore National Lab
Ivo Jimenez,Redpanda Data
Manish Parashar,University of Utah
Ian Foster,Argonne National Lab & University of Chicago
